Country,Region,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Happiness Score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Egypt,Middle East and North Africa,138,4.151400089,0.035979424,4.221919537,4.080880642,1.972316742,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245,埃及,Africa
Sierra Leone,Sub-Saharan Africa,139,3.926399946,0.061150789,4.046255589,3.806544304,1.972316742,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,塞拉利昂,Africa
Burundi,Sub-Saharan Africa,140,3.775300026,0.107122384,3.98526001,3.565340042,1.972316742,0.0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,布隆迪,Africa
Zambia,Sub-Saharan Africa,141,3.759399891,0.06067669,3.878326178,3.640473604,1.972316742,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,赞比亚,Africa
Haiti,Latin America and Caribbean,142,3.720799923,0.101463005,3.919667482,3.521932364,1.972316742,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,海地,North America
Lesotho,Sub-Saharan Africa,143,3.652800083,0.082120985,3.813757181,3.491842985,1.972316742,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964,莱索托,Africa
India,South Asia,144,3.573299885,0.027702235,3.627596378,3.519003391,1.972316742,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,印度,Asia
Malawi,Sub-Saharan Africa,145,3.538000107,0.070260517,3.675710678,3.400289536,1.972316742,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,马拉维,Africa
Yemen,Middle East and North Africa,146,3.527400017,0.054158084,3.633549929,3.421250105,1.972316742,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,也门,Asia
Botswana,Sub-Saharan Africa,147,3.478899956,0.060542691,3.597563744,3.360236168,1.972316742,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,博茨瓦纳,Africa
Tanzania,Sub-Saharan Africa,148,3.476200104,0.06320975,3.600091219,3.352308989,1.972316742,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,坦桑尼亚,Africa
Central African Republic,Sub-Saharan Africa,149,3.475899935,0.115182951,3.701658487,3.250141382,1.972316742,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718,2.860197544,中非共和国,Africa
Rwanda,Sub-Saharan Africa,150,3.312299967,0.052425209,3.415053368,3.209546566,1.972316742,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,卢旺达,Africa
Zimbabwe,Sub-Saharan Africa,151,3.299200058,0.058674462,3.414201975,3.184198141,1.972316742,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,津巴布韦,Africa
South Sudan,Sub-Saharan Africa,152,2.816600084,0.107610404,3.027516365,2.605683804,1.972316742,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278,南苏丹,Africa
Afghanistan,South Asia,153,2.566900015,0.031311426,2.628270388,2.505529642,1.972316742,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,1.507235646,阿富汗,Asia
